trial_id,title,intervention_name,condition,phase,status,source_database
NCT02975115,Evaluating True PCR-negative Rate of Frontline Dasatinib in Early Chronic Phase CML for Therapeutic Harmonization,RQ-PCR RNA Analysis,Chronic Myelocytic Leukemia,Not specified,UNKNOWN,ClinicalTrials.gov
NCT05906407,COGNITION: Genomics-Guided Precision Oncology in Early High-Risk Breast Cancer,Genomic Profiling / Sequencing,Early-Stage Breast Cancer; Neoadjuvant Therapy,Not specified,RECRUITING,ClinicalTrials.gov
NCT03196609,Characteristics of the Intestinal Microbiota in Patients With Cancer,Collection of stool and serum samples,Oncology,NA,COMPLETED,ClinicalTrials.gov
NCT01168167,Impact of Raltegravir on HIV-1 cDNA Slope Following Antiretroviral Therapy (ART) Initiation,Not specified,HIV-1,Not specified,COMPLETED,ClinicalTrials.gov
NCT05754112,JAK-i on RA B-lymphocytes Tolerance and Disease Resolution Through JAK Signaling In Rheumatoid Arthritis,B lymphocyte profiling,Rheumatoid Arthritis,Not specified,UNKNOWN,ClinicalTrials.gov
NCT04230785,Circulating Non-coding RNA in Acute Ischemic Stroke with Endovascular Treatment (EVTRNA),Sequencing of circRNA/lncRNA/miRNA,"Stroke, Acute; Stroke, Ischemic; Endovascular Treatment",Not specified,RECRUITING,ClinicalTrials.gov
NCT02115724,Nitric Oxide Bioavailability and Early Life Stress (NO-Stress),Antioxidant cocktail; Biopsy; Placebo; NMD; 0.4mg sub-lingual nitroglycerin spray,Cardiovascular Disease,NA,ACTIVE_NOT_RECRUITING,ClinicalTrials.gov
NCT06016868,Identification of a MOLecuLar Signature in Locally Advanced Cervical Cancer Patients,Tumor tissue; Blood sample,Cervical Cancer,Not specified,UNKNOWN,ClinicalTrials.gov
NCT04548700,"Liposomal Mitoxantrone Hydrochloride Injection,Cyclophosphamide, Vincristine and Prednisone in the Treatment of PTCL","Dose-finding stage: Liposomal mitoxantrone hydrochloride, Cyclophosphamide, Vincristine and Prednisone; Dose-expansion stage: Liposomal mitoxantrone hydrochloride, Cyclophosphamide, Vincristine and Prednisone",Treatment-naïve; Peripheral T Cell Lymphoma,PHASE1,TERMINATED,ClinicalTrials.gov
NCT03537664,Adjunctive Steps for Disinfection of Teeth With Primary Endodontic Infections,Root canal preparation; Intracanal medication,Periapical Periodontitis; Bacterial Infections,NA,COMPLETED,ClinicalTrials.gov
NCT00833781,A Pilot Study of a Dendritic Cell Vaccine in HIV-1 Infected Subjects,mRNA-transfected autologous dendritic cells; autologous dendritic cells with no mRNA transfection,HIV-1 Infection; HIV Infections,"PHASE1, PHASE2",COMPLETED,ClinicalTrials.gov
NCT01714414,A Trial to Confirm a Sustained Virological Suppression Defined as HIV-RNA <50 Copies/ml of 3 Different Doses of Fozivudine in Context to a Standard Zidovudine Based Antiretroviral Therapy Regimen,FZD; 3TC; EFV; AZT,HIV-1 Infection,PHASE2,COMPLETED,ClinicalTrials.gov
NCT02597127,Trial to Evaluate the Effect of ALN-PCSSC Treatment on Low Density Lipoprotein Cholesterol (LDL-C),ALN-PCSSC; Normal Saline,Atherosclerotic Cardiovascular Disease; Familial Hypercholesterolemia; Diabetes,PHASE2,COMPLETED,ClinicalTrials.gov
NCT00002220,Indinavir Plus Efavirenz Plus Adefovir Dipivoxil in HIV-Infected Patients Who Have Not Had Success With Nelfinavir,Indinavir sulfate; Efavirenz; Levocarnitine; Adefovir dipivoxil,HIV Infections,PHASE3,COMPLETED,ClinicalTrials.gov
NCT04008927,A Community-based Intervention Among Active Drug Users in Montpellier,HCV screening; Diagnosis of hepatitis C; HCV treatment,Drug Use; HCV Infection,NA,COMPLETED,ClinicalTrials.gov
NCT04783727,PredictEndTB Signature for Individualizing Treatment in Multidrug-Resistant Tuberculosis,Individualised treatment duration based on RNA transcriptomic model,"Tuberculosis, Pulmonary; Tuberculosis, Multidrug-Resistant; Bacterial Infections; Mycobacterial Infection",NA,TERMINATED,ClinicalTrials.gov
NCT00343941,Tucaresol As Add-On To HAART (Highly Active Antiretroviral Therapy) In Chronic HIV-1 Infected Adults,Tucaresol tablets 25 mg,HIV Infection,PHASE2,COMPLETED,ClinicalTrials.gov
NCT03166254,Personalized Therapeutic Anti-tumor Vaccine With Pembrolizumab and Standard of Care Chemotherapy in Squamous Non-Small Cell Lung Cancer and Extensive Stage Small Cell Lung Cancer,Pembrolizumab; NEO-PV-01 vaccine; Biopsy; Poly ICLC; Leukapheresis; Peripheral blood samples,Non Small Cell Lung Cancer; NSCLC; Non-small Cell Lung Cancer; Small Cell Lung Extensive Stage,PHASE1,WITHDRAWN,ClinicalTrials.gov
NCT07285434,"Clinical Study of the Therapeutic Effectiveness of In-silico-Designed, Machine Learning Inspired, and Quantum-molecularly Coupled Personalized Neoantigenic Vaccines Microlyvaq™ in Patients With Advanced Non-small Cell Lung Cancer",Microlyvaq™ (Personalized Multi-Epitope Immunotherapeutic),NSCLC (Non-small Cell Lung Cancer); Squamous Lung Cancer With FGFR1 Amplification; Non-Squamous Non Small Cell Lung Cancer,EARLY_PHASE1,ENROLLING_BY_INVITATION,ClinicalTrials.gov
NCT05168709,Investigating COVID-19 Vaccine Immunity in Children in the Melbourne Infant Study of BCG for Allergy and Infection Reduction,Tozinameran,COVID-19; Vaccine Reaction; Immunization; Infection,PHASE4,COMPLETED,ClinicalTrials.gov
NCT06467344,Study to Evaluate ACDN-01 in ABCA4-related Stargardt Retinopathy (STELLAR),ACDN-01,Stargardt Disease; Cone Rod Dystrophy; Juvenile Macular Degeneration; Stargardt Disease 1,"PHASE1, PHASE2",RECRUITING,ClinicalTrials.gov
NCT00830609,"High Dose Versus Standard Dose of Ribavirin in Patients With Chronic Hepatitis C, Genotype 3","Peginterferon alfa 2 A; Peginterferon alfa 2 A, ribavirin + Epo Beta; ribavirin; ribavirin; Peginterferon alfa 2; ribavirin",Chronic Hepatitis C,PHASE4,COMPLETED,ClinicalTrials.gov
NCT02500849,Safety Study of Zinc Finger Nuclease CCR5-modified Hematopoietic Stem/Progenitor Cells in HIV-1 Infected Patients,SB-728mR-HSPC Infusion 3 days following busulfan conditioning,HIV,PHASE1,ACTIVE_NOT_RECRUITING,ClinicalTrials.gov
NCT02674867,CLEAC (Comparison of Late Versus Early Antiretroviral Therapy in HIV-infected Children),Blood draw,HIV Infection,NA,UNKNOWN,ClinicalTrials.gov
NCT01309230,A Trial of FANG™ Vaccine for Participants With Ovarian Cancer,Vigil™,Ovarian Cancer,PHASE2,COMPLETED,ClinicalTrials.gov
NCT06040021,Distinct Metastatic Phenotypes Between Early-onset and Late-onset Colorectal Cancer,standardized treatment,Early-onset Colorectal Cancer; Late-onset Colorectal Cancer,Not specified,COMPLETED,ClinicalTrials.gov
NCT05158296,Study to Evaluate the Efficacy Safety and Tolerability of Ultevursen in Subjects With RP Due to Mutations in Exon 13 of the USH2A Gene (Sirius),Ultevursen; Sham-procedure,"Retinitis Pigmentosa; Usher Syndrome Type 2; Deaf Blind; Retinal Disease; Eye Diseases; Eye Diseases, Hereditary; Eye Disorders Congenital; Vision Disorders","PHASE2, PHASE3",TERMINATED,ClinicalTrials.gov
NCT00185783,Impact of Hydrocortisone Administration on White Blood Cell Gene Expression in Patients With Severe Sepsis,Hydrocortisone Administration (Standard of Care Therapy),Sepsis; Relative Adrenal Insufficiency,Not specified,COMPLETED,ClinicalTrials.gov
NCT01923311,"Two Part Study to Evaluate Pharmacokinetics, Safety, and Antiviral Activity of Elvitegravir Administered With a PI/r Background Regimen for ARV Treatment-Experienced Pediatric Participants",EVG; Background regimen,Acquired Immune Deficiency Syndrome (AIDS); HIV Infections,"PHASE2, PHASE3",TERMINATED,ClinicalTrials.gov
NCT02363387,Suppression of HIV 1 RNA in People Living With HIV,Incentives for Viral Suppression; Standard HIV Medical Care,HIV,NA,COMPLETED,ClinicalTrials.gov
NCT03549312,Switch to Genvoya Followed by HCV Therapy With Epclusa Followed by Simplification of HIV Therapy With Biktarvy in Patients With HIV-HCV Co-Infected Subjects on Opioid Substitution Therapy,Genvoya; Epclusa; Biktarvy,"HIV-1-infection; Hepatitis C, Chronic; Methadone Dependence; Opioid Dependence; Bone Diseases, Metabolic; HIV/AIDS; Co-infection; Buprenorphine Dependence; HCV Coinfection",PHASE4,UNKNOWN,ClinicalTrials.gov
NCT03454893,"Open Label, Study Of Efficacy and Safety Of AVR-RD-01 for Treatment-Naive Subjects With Classic Fabry Disease",AVR-RD-01,Fabry Disease,"PHASE1, PHASE2",TERMINATED,ClinicalTrials.gov
NCT04819347,Albuvirtide in Combination With 3BNC117 in Virologically Suppressed Subjects With HIV-1 Infection,Albuvirtide; 3BNC117,HIV/AIDS,PHASE2,UNKNOWN,ClinicalTrials.gov
NCT00553930,"Low Dose Peginterferon-α 2a for Chronic Hepatitis C, Genotypes 2 or 3, in HIV-coinfected Patients",Pegylated interferon alfa-2a and Ribavirin; Pegylated interferon alfa 2a and Ribavirin,"Hepatitis C, Chronic; HIV Infections",PHASE4,COMPLETED,ClinicalTrials.gov
NCT04036045,Approaches to Identify Early Biomarkers and Pathogenesis of Anthracycline Cardiotoxicity,Cardiac MRI; Echocardiogram; Blood Draw,Childhood Cancer,Not specified,WITHDRAWN,ClinicalTrials.gov
NCT05248555,The National Australian HCV Point-of-Care Testing Program - Minimal Dataset,Point-of-Care Testing,Hepatitis C,Not specified,RECRUITING,ClinicalTrials.gov
NCT06946225,ACTengine® IMA203 Combined With mRNA-4203,IMA203; mRNA-4203,Cutaneous Melanoma; Synovial Sarcoma,PHASE1,RECRUITING,ClinicalTrials.gov
NCT05179174,The Role of Genetic Mutations and of Circulating mRNAs in Uveal Melanoma,blood sample examination,Uveal Melanoma,Not specified,UNKNOWN,ClinicalTrials.gov
NCT02608047,"Studies on the Pathogen, Vector Control and Clinical Treatment of Dengue Fever in Guangzhou",Not specified,Dengue Fever,Not specified,UNKNOWN,ClinicalTrials.gov
NCT00002184,"A Phase II, Stratified, Randomized, Double-Blind, Multi-Center Study of the Safety and Efficacy of Adefovir Dipivoxil (ADF) at Two Dose Levels in Triple Combination Therapies With Protease Inhibitors (PI) and Nucleoside Reverse Transcriptase Inhibitors (RTI) for the Treatment of HIV-Infected Patient",Nelfinavir mesylate; Levocarnitine; Adefovir dipivoxil; Saquinavir; Lamivudine; Stavudine; Zidovudine,HIV Infections,PHASE2,COMPLETED,ClinicalTrials.gov
NCT04193670,"Sensory Nociceptive Nerve Fibers, Key Regulator of Immune Response Type 2 in Atopic Dermatitis",Clinical examination; Biopsies; Blood test,Atopic Dermatitis,NA,COMPLETED,ClinicalTrials.gov
NCT04489953,Comparison of Treatment Failure Criteria in HIV-Infected Children in Uganda,Viral Load,HIV,NA,COMPLETED,ClinicalTrials.gov
NCT00000939,A Study to Compare the Effectiveness of Different Anti-HIV Drug Regimens in Keeping Levels of HIV in the Blood as Low as Possible,Hydroxyurea; Efavirenz; Stavudine; Didanosine,HIV Infections,PHASE2,COMPLETED,ClinicalTrials.gov
NCT05927142,Combining Anti-PD-L1 Immune Checkpoint Inhibitor Durvalumab With TLR-3 Agonist Rintatolimod in Patients With Metastatic Pancreatic Ductal Adenocarcinoma for Therapy Efficacy,Durvalumab; Rintatolimod,Metastatic Pancreatic Cancer,"PHASE1, PHASE2",RECRUITING,ClinicalTrials.gov
NCT04227886,Study on Predictive Biomarkers of Neoadjuvant Chemoradiotherapy for Rectal Cancer,Radiation; Capecitabine-Irinotecan Combination,Rectal Neoplasm Malignant Carcinoma; Chemoradiotherapy; Neoadjuvant Therapy; Predictive Biomarkers; Adenocarcinoma,Not specified,UNKNOWN,ClinicalTrials.gov
NCT04060537,Identification of Novel Biomarkers of Response to Systemic Treatments in Renal Cell Cancer,Laboratory analysis of samples; Application of machine learning,"Carcinoma, Renal Cell",Not specified,UNKNOWN,ClinicalTrials.gov
NCT05348161,Dynamic Multiomics Evaluation of Anti-HER2 and Immunotherapy in HER2 Positive Gastric Cancer,Samples including blood and tissue collection; CTC detection; ctDNA detection; 10×genomics single cell RNA sequence; Whole exon sequence; Proteomics detection,HER2 Positive Advanced Gastric Cancer,NA,UNKNOWN,ClinicalTrials.gov
NCT02757586,Treatment of Chronic Lymphocytic Leukemia,shRNA,"Leukemia, Lymphocytic, Chronic, B-Cell",Not specified,UNKNOWN,ClinicalTrials.gov
NCT00010127,Vaccine Therapy in Treating Patients With Metastatic Prostate Cancer,therapeutic autologous dendritic cells,Prostate Cancer,PHASE1,TERMINATED,ClinicalTrials.gov
NCT00708500,Boceprevir in Subjects With Chronic Hepatitis C Genotype 1 Who Failed Prior Treatment With Peginterferon/Ribavirin (Study P05101AM3)(COMPLETED),Boceprevir (SCH 503034); Pegylated interferon alfa-2b (SCH 54031); Ribavirin (SCH 18908); Boceprevir placebo,"Hepatitis C, Chronic",PHASE3,COMPLETED,ClinicalTrials.gov
NCT01190111,Study on Interleukin-7 (CYT107) in HIV Patients,Interleukin-7,HIV,PHASE2,TERMINATED,ClinicalTrials.gov
NCT02112630,Boceprevir in End Stage Renal Disease (ESRD),P-IFN alfa 2a; P-IFN alfa 2b; Ribavirin; Boceprevir,Hepatitis C Infection; End Stage Renal Disease,NA,WITHDRAWN,ClinicalTrials.gov
NCT05029258,Biomarkers for Clinical Hypoxia Evaluation in Cervical Cancer,Biopsy of tumour; MRI scans,Cervical Cancer,Not specified,RECRUITING,ClinicalTrials.gov
NCT00433056,Long Term Treatment Interruptions,STI; stable HAART,HIV Infections; AIDS,PHASE3,COMPLETED,ClinicalTrials.gov
NCT04553081,2DR Versus 3DR in a Prospective Randomized Controlled Switch Trial,Dual versus triple therapy in treatment of HIV-1 infection.,HIV-1-infection,PHASE4,RECRUITING,ClinicalTrials.gov
NCT00623428,A Study of Combination Therapy With PEGASYS (Pegylated Interferon Alfa-2a (40KD)) and Copegus (Ribavirin) in Patients With Chronic Hepatitis C Genotype 2 or 3 Who Do Not Achieve a Rapid Viral Response,peginterferon alfa-2a; Ribavirin,"Hepatitis C, Chronic",PHASE3,COMPLETED,ClinicalTrials.gov
NCT03197805,Assessment of the Impact of RNA Genomic Profile on Treatment Decision-making in HER2 Equivocal Breast Cancer Patients,PAM 50 test,Breast Cancer,NA,TERMINATED,ClinicalTrials.gov
NCT05934045,Deciphering the Role of Circular RNAs in ALKpositive Anaplastic Large-cell Lymphoma,RNAseq,ALK-Positive Anaplastic Large Cell Lymphoma,Not specified,UNKNOWN,ClinicalTrials.gov
NCT04163094,Ovarian Cancer Treatment With a Liposome Formulated mRNA Vaccine in Combination With (Neo-)Adjuvant Chemotherapy,W_ova1 Vaccine,Ovarian Cancer,PHASE1,TERMINATED,ClinicalTrials.gov
NCT01290731,"A Study of TMC435 in Genotype 1, Hepatitis C-infected Patients Who Relapsed After Previous Interferon (IFN)-Based Therapy",TMC435; Pegylated interferon (pegIFN alpha-2a); Ribavirin (RBV),"Hepatitis C, Chronic",PHASE3,COMPLETED,ClinicalTrials.gov
NCT00454337,Efficacy and Tolerance of the Switch From Enfuvirtine to Raltegravir in Antiretroviral Therapy Regimen in HIV Patients With Undetectable Viral Load,FTC/TDF + EFV or LPV/R +T20; FTC/TDF + EFV or LPV/R,HIV Infections,PHASE3,COMPLETED,ClinicalTrials.gov
NCT00002179,The Effectiveness of Indinavir Plus Zidovudine Plus Lamivudine in HIV-Infected Patients With No Symptoms of Infection,Indinavir sulfate; Lamivudine; Zidovudine,HIV Infections,PHASE4,COMPLETED,ClinicalTrials.gov
NCT00433069,Retreatment of Chronic Hepatitis C Non-responders With Pegylated Interferon Alpha Plus Ribavirin Plus Pioglitazone,Pioglitazone; Interferon Alfa-2a; Ribavirin,Chronic Hepatitis C,PHASE2,COMPLETED,ClinicalTrials.gov
NCT00746473,Assessment of Cytokine Values in Serum and by RT-PCR in HIV-1 Individuals With and Without HAART,Not specified,HIV Infections,Not specified,COMPLETED,ClinicalTrials.gov
NCT05121350,A Clinical Trial to Evaluate the Efficacy and Safety of Anotinib Hydrochloride Capsule Combined With Epirubicin Hydrochloride Versus Placebo Combined With Epirubicin Hydrochloride in First-line Treatment of Advanced Soft Tissue Sarcoma,Anlotinib hydrochloride capsule; Epirubicin; Arotinib hydrochloride capsule placebo,Soft Tissue Sarcoma,PHASE3,UNKNOWN,ClinicalTrials.gov
NCT02556333,Emtricitabine/Tenofovir Alafenamide as Salvage ART,FTC/TAF,HIV,PHASE2,TERMINATED,ClinicalTrials.gov
NCT04154735,Autologous Transplant Targeted Against Crohn's,Fludarabine; Cyclophosphamide; Mesna; Alemtuzumab; G-CSF; Rifaximin; Tacrolimus,Crohn's Disease,PHASE2,WITHDRAWN,ClinicalTrials.gov
NCT01435226,"GS-5885, GS-9451, Tegobuvir and Ribovirin in Treatment-Experienced Subjects With Chronic Genotype 1a Or 1b Hepatitis C Virus (HCV) Infection",GS-5885; GS-9451; tegobuvir; placebo to match tegobuvir; placebo to match RBV; Ribavirin,"Hepatitis C, Chronic",PHASE2,COMPLETED,ClinicalTrials.gov
NCT03521245,Molecular Pathway Activation Markers Predicting Efficacy of Trastuzumab Therapy for HER2-positive Breast Cancer,RNA sequencing; Transcriptome analysis; Trastuzumab; Chemotherapy,HER2-positive Breast Cancer,Not specified,UNKNOWN,ClinicalTrials.gov
NCT04026867,The DETECT HCV Linkage to Care Trial,Linkage Navigation; Clinician Referral,Hepatitis C,NA,COMPLETED,ClinicalTrials.gov
NCT06539052,MIGrant Reflex Test HDV (MIGRED) Project,anti-HDV positive with the reflex testing methodology,Hepatitis D Virus Infection,Not specified,NOT_YET_RECRUITING,ClinicalTrials.gov
NCT05373758,A Randomized Clinical Trial to Evaluate Solutions for the Management of Virologic Failure on TLD in Sub-Saharan Africa,Standard of Care treatment strategy; Individualized Care treatment strategy; Immediate Switch,HIV Infections; AIDS; Virologic Failure,NA,RECRUITING,ClinicalTrials.gov
NCT03935906,Reaching mEthadone Users Attending Community pHarmacies With HCV,Reach Pathway; Education-only Pathway,Hepatitis C,NA,COMPLETED,ClinicalTrials.gov
NCT00001132,Effectiveness of the Early Addition of Abacavir to an Anti-HIV Drug Combination,Abacavir sulfate,HIV Infections,PHASE2,COMPLETED,ClinicalTrials.gov
NCT06031727,CRISPR/cas13-medIated RNA TarGeting THerapy for the Treatment of Neovascular Age-related Macular Degeneration Investigator-initiated Trial (SIGHT-I),HG202,Neovascular Age-related Macular Degeneration(nAMD),EARLY_PHASE1,RECRUITING,ClinicalTrials.gov
NCT06923280,Sequential PEG-IFN for HBV After Ending RNA-targeted Regimens,Pegylated Interferon-alpha (IFN),"Hepatitis B, Chronic",NA,NOT_YET_RECRUITING,ClinicalTrials.gov
NCT03899480,Adoptive Transfer of Haploidentical NK Cells and N-803,Haploidentical Natural Killer (NK) Cells,Hiv; HIV Infections; Immune Deficiency,PHASE1,COMPLETED,ClinicalTrials.gov
NCT02823327,Clinical and Genomic Factors for Prognosis of AIDS Primary Effusion Lymphoma,Laboratory Biomarker Analysis; Medical Chart Review,AIDS-Related Primary Effusion Lymphoma,Not specified,TERMINATED,ClinicalTrials.gov
NCT05052957,hSTAR GBM (Hematopoetic Stem Cell (HPC) Rescue for GBM),P140K-MGMT; O6-benzylguanine; Photon Based Radiotherapy; temozolomide; Filgrastim; carmustine,"Glioblastoma Multiforme; Glioblastoma Multiforme, Adult; Supratentorial Glioblastoma; Supratentorial Gliosarcoma",PHASE2,RECRUITING,ClinicalTrials.gov
NCT01336010,Treatment of Recently Acquired Hepatitis C Virus Infection,Peginterferon alfa-2a; Ribavirin,Acute Hepatitis C,PHASE4,COMPLETED,ClinicalTrials.gov
NCT06336395,Ma-Spore ALL 2020 Study,Prednisolone; Dexamethasone; Vincristine; Methotrexate; L-Asparaginase; Pegylated asparaginase; Erwinase; Dasatinib; Imatinib; Cyclophosphamide; Cytarabine; Mercaptopurine; Thioguanine; Rituximab; Doxorubicin; Fludarabine,B Lymphoblastic Leukemia,PHASE2,RECRUITING,ClinicalTrials.gov
NCT06987396,Clinical Investigation to Assess the Effect of Betaglucan Administration in HPV Patients,1000 mg Betaglucans (daily),HPV,NA,COMPLETED,ClinicalTrials.gov
NCT04809246,Prisons Evaluation of a One-stop-shop InterVentiOn,'One-stop-shop' hepatitis clinic,Hepatitis C,NA,COMPLETED,ClinicalTrials.gov
NCT01225380,"A Study of Response-Guided Duration of Combination Therapy With GS-9190, GS-9256, Pegasys® and Copegus® in Previously Untreated Subjects With Genotype 1 Chronic Hepatitis C",GS-9190; GS-9256; Pegasys®; Copegus®; GS-9190 placebo; GS-9256; Pegasys®; Copegus®; GS-9190 placebo; GS-9256 placebo; Pegasys®; Copegus®,Chronic Hepatitis C Infection,PHASE2,COMPLETED,ClinicalTrials.gov
NCT00488059,A Study of Fuzeon (Enfuvirtide) With an Integrase Inhibitor Plus Optimized Background in Treatment-Experienced HIV-1 Infected Patients,enfuvirtide [Fuzeon]; Optimized background ARV; Integrase inhibitor; enfuvirtide [Fuzeon],HIV Infections,PHASE4,TERMINATED,ClinicalTrials.gov
NCT05712980,Transcriptomic Profile of Patients Treated With Different Modalities of Spinal Cord Stimulation,Implanted pulse generator for SCS with different programming modalities,Spinal Cord Stimulation; Failed Back Surgery Syndrome; Genetic Change,Not specified,UNKNOWN,ClinicalTrials.gov
NCT03529409,Effectiveness & Implementation of a Behavioral Intervention for Adherence and Substance Use in HIV Care in South Africa,Project Khanya,Human Immunodeficiency Virus; Alcohol-Related Disorders; Drug Use,NA,COMPLETED,ClinicalTrials.gov
NCT00001085,A Study of 141W94 Used Alone or in Combination With Zidovudine Plus 3TC in HIV-Infected Patients,Amprenavir; Lamivudine; Zidovudine,HIV Infections,PHASE2,COMPLETED,ClinicalTrials.gov
NCT00000874,A Pilot Study of the Short-Term Effects of Antiretroviral Management Based on Plasma Genotypic Antiretroviral Resistance Testing (GART) Compared With Antiretroviral Management Without Plasma GART,Not specified,HIV Infections,Not specified,COMPLETED,ClinicalTrials.gov
NCT04035980,Telemedicine for Linkage to Care People Who Injected Drugs With Hepatitis C,Telemedicine based healthcare programme,Hepatitis C Virus Infection,NA,UNKNOWN,ClinicalTrials.gov
NCT04575896,Kidney Transplants in Hepatitis C Negative Recipients With Hepatitis C Viremic Donors,Glecaprevir/pibrentasvir,End Stage Renal Disease; Hepatitis C,PHASE4,COMPLETED,ClinicalTrials.gov
NCT00028067,"A Comparison of Atazanavir and Nelfinavir, Each in Combination With 2 NRTIs, in Patients Who Have Failed Treatments Without a Protease Inhibitor",Atazanavir; Nelfinavir mesylate,HIV Infections,PHASE3,TERMINATED,ClinicalTrials.gov
NCT03001128,Biomarkers to Predict Time to Plasma HIV RNA Rebound,Antiretroviral treatment pause,HIV-1 Infection,Not specified,COMPLETED,ClinicalTrials.gov
NCT01482767,"Evaluating the Effectiveness of Boceprevir, Pegylated-Interferon Alfa 2b and Ribavirin in Treating Hepatitis C Virus (HCV) Infection in Adults With HIV and HCV Infection",Pegylated-Interferon Alfa 2b (PEG-IFN); Ribavirin (RBV); Boceprevir (BOC),HIV Infections; Hepatitis C,PHASE3,COMPLETED,ClinicalTrials.gov
NCT06314971,Predicting Local and Distant Recurrence in T1 Colorectal Cancer,Tw1CE,Colorectal Cancer; Colorectal Neoplasms; Colorectal Adenocarcinoma; Colorectal Cancer Stage I; Colorectal Neoplasms Malignant; Colorectal Cancer Recurrent,Not specified,COMPLETED,ClinicalTrials.gov
NCT02309918,HepNet Acute HCV IV - LDV/SOF FDC in Acute Genotype 1 Hepatitis C Virus Infection,LDV/SOF FDC,Acute Hepatitis C,PHASE2,COMPLETED,ClinicalTrials.gov
NCT02050009,"Metformin Hydrochloride, Carboplatin, and Paclitaxel in Treating Patients With Recurrent Ovarian, Fallopian Tube, or Primary Peritoneal Cancer",metformin hydrochloride; carboplatin; paclitaxel; laboratory biomarker analysis,Ovarian Papillary Serous Carcinoma; Ovarian Serous Cystadenocarcinoma; Recurrent Fallopian Tube Cancer; Recurrent Ovarian Epithelial Cancer; Recurrent Ovarian Germ Cell Tumor; Recurrent Primary Peritoneal Cavity Cancer,PHASE1,WITHDRAWN,ClinicalTrials.gov
NCT01443013,Analysis of Foxp3 and Vimentin Expression in Renal Transplant Recipient,Renal Transplant,Function of Renal Transplant,Not specified,COMPLETED,ClinicalTrials.gov
NCT06906016,New HBV Infection Biomarkers: Clinical Characterization and Impact on Management,Collection of blood samples for the study of HBV biomarkers,Chronic Hepatitis B Virus (HBV) Infection,Not specified,RECRUITING,ClinicalTrials.gov
NCT01827228,Transmission Reduction Intervention Project,Assays; HIV medical care; Social network and venue tracing; Community alerts; Community education; HIV counseling,HIV,NA,UNKNOWN,ClinicalTrials.gov
